timestamp,month,day,hour,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
20240303004000,3,3,0,0.33254504752678427,0.28357509438251166,0.2851320948228806,0.3427268393182454,0.2946233009387072,0.28131557515082045,0.3116219281406302,0.2820965884405724,0.30034812727932436,0.3298241522612393,0.29184458670531405,0.32043043538340577,0.32043043538340577
20240303017600,3,3,1,0.32752092463739996,0.27892882147615017,0.2805990246213457,0.3374401893633845,0.28962859953655107,0.2769691692154209,0.30648418245326325,0.2774031806379468,0.2955055799599982,0.3249147819329221,0.28767374026762627,0.3154987840704072,0.3154987840704072
20240303021200,3,3,2,0.3179637491462922,0.27068624261377044,0.271975957792881,0.3273836197907294,0.28021362017656204,0.2693906623778553,0.2970618351157832,0.2702393882819421,0.286624033376433,0.31478238273573567,0.27668926481867373,0.3061175133298233,0.3061175133298233
20240303034800,3,3,3,0.3113877899469256,0.2652959099411917,0.2660427261921684,0.3204640449375834,0.2743476352557105,0.2645008038059944,0.2918092547945269,0.2639447808694867,0.279524546435174,0.30706011984766546,0.26973592746767283,0.29966258805554213,0.29966258805554213
20240303048400,3,3,4,0.3001573400636608,0.2555946921649938,0.2559099291176331,0.30864676684236053,0.26506404711043596,0.2532652782336116,0.27914195359333505,0.2538966462812623,0.26972774575448566,0.29569873768313826,0.2595141923540573,0.2886388404021176,0.2886388404021176
20240303052000,3,3,5,0.30332048630123654,0.2571575384020912,0.25876391264238896,0.3119751979500931,0.2677163920788546,0.25589174666653325,0.28169066728013537,0.25618181661522205,0.2729508876927985,0.3000317737975561,0.2641100241918849,0.2917437672996478,0.2917437672996478
20240303065600,3,3,6,0.29674288457165066,0.2517630025812052,0.25282919905069895,0.3050538947390824,0.261376995990179,0.2508203846135253,0.2753049230836029,0.2500831885063178,0.2665210375380853,0.2928733423284537,0.25751174467392024,0.28528722972676435,0.28528722972676435
20240303079200,3,3,7,0.30369269564892176,0.25719420245013136,0.25909974262502933,0.31236685646929385,0.26738123737696284,0.2559513656917023,0.28316193081788144,0.25657005406330663,0.27320383720934455,0.30012139779255675,0.26496307730247237,0.29210912594206895,0.29210912594206895
20240303082800,3,3,8,0.3265849416751327,0.27647895009605716,0.27975452368679193,0.3364552981905041,0.2911076759387072,0.2759208929889565,0.3053549384140475,0.2769752594742385,0.2955224540778435,0.32250123204098347,0.2865901943506771,0.31458002835793,0.31458002835793
20240303096400,3,3,9,0.3630564914199261,0.309561511130011,0.3126613810610912,0.3748326072367101,0.3304691149397988,0.3083681729458315,0.3409925420265367,0.30954998854854787,0.329533212101783,0.3568079138666522,0.318886627075605,0.35038030039467616,0.35038030039467616
20240303100000,3,3,10,0.39938684321715745,0.34251599453220044,0.3454408410323604,0.41306134027481667,0.3646709776581395,0.3397749660966157,0.3758030050212725,0.344374763106863,0.36458622095710275,0.3940988928522424,0.3512207672113128,0.386041973305004,0.386041973305004
20240303113600,3,3,11,0.43789712152975907,0.3774478425514382,0.3801871637070162,0.45358390821063904,0.401678751777954,0.3723928643189872,0.4129501319798181,0.3817847258369263,0.40246542094490156,0.43483419435168946,0.3829942317776776,0.42384345005740787,0.42384345005740787
